date,Consumption_km_Vehicle_0,Consumption_km_Vehicle_1,Consumption_km_Vehicle_10,Consumption_km_Vehicle_11,Consumption_km_Vehicle_12,Consumption_km_Vehicle_13,Consumption_km_Vehicle_14,Consumption_km_Vehicle_15,Consumption_km_Vehicle_16,Consumption_km_Vehicle_17,Consumption_km_Vehicle_18,Consumption_km_Vehicle_19,Consumption_km_Vehicle_2,Consumption_km_Vehicle_20,Consumption_km_Vehicle_21,Consumption_km_Vehicle_22,Consumption_km_Vehicle_23,Consumption_km_Vehicle_3,Consumption_km_Vehicle_4,Consumption_km_Vehicle_5,Consumption_km_Vehicle_6,Consumption_km_Vehicle_7,Consumption_km_Vehicle_8,Consumption_km_Vehicle_9
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.3760717541161335,0.0,0.0,0.0,0.0,0.0,0.258387464711333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762564866496924,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.0,0.2778963561163211,0.27993064608541485,0.5098397753088001,0.35200895265179466,0.17076382293902673,0.0,0.0,0.19640419480293017,0.3250998066782456,0.38427660888501886,0.38859768249459664,0.0,0.0,0.0,0.0,0.0,0.4081926704313758,0.0,0.0,0.11329772784640002,0.0,0.38106285396024403,0.0
2026-01-01 07:00:00,0.18132202962994293,0.2872357476311865,0.3884897018745717,0.3236349036764952,0.3992335983680231,0.1248467729952085,0.3472730826033196,0.41302365498461224,0.34360346017814813,0.11329772784640002,0.22554558214947348,0.5098397753088001,0.314524688049661,0.30300696044717224,0.11329772784640002,0.5098397753088001,0.11329772784640002,0.40294998253587383,0.4024769939439048,0.27611755025855655,0.39152077072828473,0.0,0.15301793007212552,0.3137927339524312
2026-01-01 08:00:00,0.4617591079287514,0.11329772784640002,0.20090524774732252,0.30004075815175796,0.5098397753088001,0.2596032043622736,0.5098397753088001,0.29630988209439635,0.35992347769166566,0.36232826361854054,0.372480064865387,0.35295572088017135,0.18853535877342337,0.4284461607892661,0.29817758855955107,0.5098397753088001,0.4442624259968728,0.28315245200976696,0.23877763672538124,0.11329772784640002,0.486572320729123,0.37296498882707424,0.19504634513894925,0.11329772784640002
2026-01-01 09:00:00,0.33621649159398637,0.19978018085785545,0.4042973399991503,0.5098397753088001,0.3169172589864358,0.14858468893692475,0.4103392075485973,0.5098397753088001,0.30876573580825956,0.5098397753088001,0.41054912010353634,0.17917223347413816,0.3274022629087974,0.2575008263497896,0.5098397753088001,0.36398160153790904,0.21951992756638283,0.11329772784640002,0.2808162622478103,0.12188491635133183,0.25171861765608256,0.12560610415197265,0.14533725915757137,0.47914562756676354
2026-01-01 10:00:00,0.14492676711546645,0.263272644286211,0.3989322538958901,0.11329772784640002,0.5098397753088001,0.11329772784640002,0.24003951629447914,0.17388308682578935,0.39804101507666334,0.21451307188139646,0.3825557852846673,0.3494399402281432,0.378837483016223,0.3616506319433448,0.39053667477430676,0.45416131189382225,0.3185393937274411,0.11329772784640002,0.11329772784640002,0.28022185336880195,0.11329772784640002,0.5052088170420235,0.25122454749634415,0.23574855612797946
2026-01-01 11:00:00,0.30143930698148635,0.11329772784640002,0.3109939197880486,0.2680162762455552,0.42509620064030484,0.1826048394588367,0.36384330335740317,0.5098397753088001,0.21034517413641868,0.40761437069698936,0.25487680542924046,0.11329772784640002,0.5098397753088001,0.11329772784640002,0.11329772784640002,0.20298831466549877,0.4389343063836585,0.33820550652185255,0.3076803262132528,0.3659388563796279,0.3948885794874132,0.40037365884276815,0.4005076485668806,0.36806249487121306
2026-01-01 12:00:00,0.0,0.0,0.30473467534822646,0.24813893816935761,0.0,0.0,0.0,0.3010169445889603,0.2118633224043633,0.0,0.0,0.0,0.18722384961133828,0.0,0.21497892912832967,0.14595856138109942,0.0,0.0,0.23202282967855664,0.333222522098516,0.0,0.24018455866504754,0.3264654452206829,0.18876039219072088
2026-01-01 13:00:00,0.0,0.12363210348957233,0.0,0.478976069159508,0.4458016489633801,0.369479153036637,0.11329772784640002,0.24602457228992472,0.13238064500774618,0.11329772784640002,0.0,0.29838725826114804,0.0,0.11329772784640002,0.0,0.2161802789087098,0.14516489043229155,0.3767364248955787,0.3010361197336436,0.0,0.3270724786219784,0.5098397753088001,0.21900683171467564,0.3994069906820106
2026-01-01 14:00:00,0.14586344317720742,0.28198911982367236,0.45494598168632633,0.31178094793651534,0.26586401943762944,0.5098397753088001,0.3552727209908101,0.40343891575028906,0.5098397753088001,0.3317648022704402,0.18628057396249456,0.2764342695052364,0.11329772784640002,0.5050122634135652,0.2728924237470397,0.3648380001293491,0.23152444587903742,0.3252100902129575,0.3459915929508314,0.32310273389849575,0.31460005627561144,0.29961368810245764,0.351804661721142,0.21256872658068623
2026-01-01 15:00:00,0.14550587974757365,0.11329772784640002,0.2817213082399442,0.5098397753088001,0.3250736943635042,0.3303287970466721,0.22572359281442533,0.27511242284474546,0.11329772784640002,0.27874709625206257,0.3141488600988939,0.1989650853374543,0.11329772784640002,0.38172574801026,0.403192837122945,0.30492179449829715,0.3232111157508032,0.13273576302178053,0.14744726536017658,0.11329772784640002,0.4515287095617857,0.4099473554987759,0.2383853248926722,0.5098397753088001
2026-01-01 16:00:00,0.25495144114951296,0.13849212988735507,0.30373541185493935,0.42907739815457424,0.1948316766209387,0.3721271188219774,0.25801847162363484,0.5098397753088001,0.43490002743086675,0.25610689920993784,0.2660526308745478,0.1530153013828287,0.24469693396095243,0.23014088404699412,0.45859602968124236,0.42647620747506393,0.25600622549840724,0.28933844505220435,0.11329772784640002,0.18275450738894905,0.5098397753088001,0.3333311008842978,0.28476117747923607,0.2965218248002336
2026-01-01 17:00:00,0.11329772784640002,0.16402024701677068,0.2992952122707506,0.22740172603448267,0.2556000478982244,0.45228608829041017,0.5098397753088001,0.21827292166480936,0.148820453693371,0.11329772784640002,0.379511102105206,0.3583629330178671,0.3469575222496172,0.20440192575966817,0.32210530760293055,0.35625594952067474,0.36198327748359543,0.4897189859439511,0.435814053023606,0.1412610470652581,0.12478100520435907,0.18101395703231685,0.3681728299657551,0.3299489561060313
2026-01-01 18:00:00,0.11329772784640002,0.3994816189172547,0.30113901679403393,0.39752748439752483,0.26178836097416647,0.3547512457552417,0.0,0.144519197389147,0.24160819893350974,0.2797358969266968,0.12944911430949477,0.22654267499500277,0.2521347744133576,0.2089243474757746,0.3592854689669884,0.5098397753088001,0.3344277870999755,0.2054357696851049,0.23437862863598485,0.3575078699090386,0.12834233189711888,0.11329772784640002,0.11329772784640002,0.3067463848455653
